cycle,event,partition,warp,opcode,dst,src1,src2,latency,info
243,COMPLETE,0,5,ALU,0,-1,-1,0,""
244,ISSUE,0,0,LD,1,3,None,4,""
244,COMPLETE,0,6,ALU,0,-1,-1,0,""
245,ISSUE,0,1,LD,1,3,None,4,""
245,COMPLETE,0,7,ALU,0,-1,-1,0,""
246,ISSUE,0,2,LD,1,3,None,4,""
247,ISSUE,0,5,LD,1,3,None,4,""
247,COMPLETE,0,0,ALU,0,-1,-1,0,""
248,ISSUE,0,6,LD,1,3,None,4,""
248,COMPLETE,0,1,ALU,0,-1,-1,0,""
249,ISSUE,0,7,LD,1,3,None,4,""
249,COMPLETE,0,2,ALU,0,-1,-1,0,""
250,ISSUE,0,0,LD,2,4,None,4,""
251,ISSUE,0,1,LD,2,4,None,4,""
252,ISSUE,0,2,LD,2,4,None,4,""
253,ISSUE,0,5,LD,2,4,None,4,""
254,ISSUE,0,6,LD,2,4,None,4,""
255,ISSUE,0,7,LD,2,4,None,4,""
256,ISSUE,0,0,FFMA,0,1,2,4,""
257,ISSUE,0,1,FFMA,0,1,2,4,""
258,ISSUE,0,2,FFMA,0,1,2,4,""
259,ISSUE,0,5,FFMA,0,1,2,4,""
260,ISSUE,0,6,FFMA,0,1,2,4,""
261,ISSUE,0,7,FFMA,0,1,2,4,""
261,COMPLETE,0,5,ALU,0,-1,-1,0,""
262,ISSUE,0,0,LD,1,3,None,4,""
262,COMPLETE,0,6,ALU,0,-1,-1,0,""
263,ISSUE,0,1,LD,1,3,None,4,""
263,COMPLETE,0,7,ALU,0,-1,-1,0,""
264,ISSUE,0,2,LD,1,3,None,4,""
265,ISSUE,0,5,LD,1,3,None,4,""
265,COMPLETE,0,0,ALU,0,-1,-1,0,""
266,ISSUE,0,6,LD,1,3,None,4,""
266,COMPLETE,0,1,ALU,0,-1,-1,0,""
267,ISSUE,0,7,LD,1,3,None,4,""
267,COMPLETE,0,2,ALU,0,-1,-1,0,""
268,ISSUE,0,0,LD,2,4,None,4,""
269,ISSUE,0,1,LD,2,4,None,4,""
270,ISSUE,0,2,LD,2,4,None,4,""
271,ISSUE,0,5,LD,2,4,None,4,""
272,ISSUE,0,6,LD,2,4,None,4,""
273,ISSUE,0,7,LD,2,4,None,4,""
274,ISSUE,0,0,FFMA,0,1,2,4,""
275,ISSUE,0,1,FFMA,0,1,2,4,""
276,ISSUE,0,2,FFMA,0,1,2,4,""
277,ISSUE,0,5,FFMA,0,1,2,4,""
278,ISSUE,0,6,FFMA,0,1,2,4,""
279,ISSUE,0,7,FFMA,0,1,2,4,""
279,COMPLETE,0,5,ALU,0,-1,-1,0,""
280,ISSUE,0,0,LD,1,3,None,4,""
280,COMPLETE,0,6,ALU,0,-1,-1,0,""
281,ISSUE,0,1,LD,1,3,None,4,""
281,COMPLETE,0,7,ALU,0,-1,-1,0,""
282,ISSUE,0,2,LD,1,3,None,4,""
283,ISSUE,0,5,LD,1,3,None,4,""
283,COMPLETE,0,0,ALU,0,-1,-1,0,""
284,ISSUE,0,6,LD,1,3,None,4,""
284,COMPLETE,0,1,ALU,0,-1,-1,0,""
285,ISSUE,0,7,LD,1,3,None,4,""
285,COMPLETE,0,2,ALU,0,-1,-1,0,""
286,ISSUE,0,0,LD,2,4,None,4,""
287,ISSUE,0,1,LD,2,4,None,4,""
